,link,first_name,last_name,nationality,year
0,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=29971,David,Faber,American, born 1950
1,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=14182,Johann Joachim,Faber,German, 1778 - 1846
2,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=28714,Karl Gottfried Traugott,Faber,German, 1786 - 1863
3,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4047,John,Faber II,Dutch, c. 1684 - 1756
4,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=27180,Mary,Fabilli,American, born 1914
5,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4048,Ralph,Fabri,American, 1894 - 1975
6,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1331,Gentile da,Fabriano,Italian, c. 1370 - 1427
7,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6892,Carel,Fabritius,Dutch, c. 1622 - 1654
8,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=34923,Dominique C.,Fabronius,American, born Belgium
9,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4049,Pietro,Faccini,Italian, probably c. 1562 - 1602
10,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=5645,John,Faed,Scottish, probably 1819 - 1902
11,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=9908,,Faentine 16th Century,,
12,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1477,Pieter van der,Faes,British, 1618 - 1680
13,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=33404,James,Fagan,American, 1864 - 1910
14,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4053,Oyvind,Fahlstrom,American, 1928 - 1976
15,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7489,Samuel,Faigin,American, active c. 1935
16,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7490,George,Fairbanks,American, active c. 1935
17,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=2495,Semantha,Fairbanks,American, active c. 1843
18,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7491,Elizabeth,Fairchild,American, active c. 1935
19,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4054,Wilfred,Fairclough,British, born 1907
20,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6092,William,Fairland,British, active c. 1828
21,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,William,Faithorne,English, 1616 - 1691
22,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,William I,Faithorne,English, 1616 - 1691
23,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,William,Faithorne the Elder,English, 1616 - 1691
24,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6820,Biagio,Falcieri,Italian, 1628 - 1703
25,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=23452,Domenico,Falcini,Italian, born c. 1570
26,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4056,Jeremias,Falck,German, c. 1619 - 1677
27,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4057,Aniello,Falcone,Italian, 1607 - 1656
28,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=33405,John Mackie,Falconer,American, 1820 - 1903
29,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=2101,Etienne-Maurice,Falconet,French, 1716 - 1791
